,Name,Description,Ingredients,Instructions,Season
144,Rainy Panzanella Salad,A traditional Italian bread salad with fresh tomatoes and basil.,"1/2 cup cherry tomatoes, 1/2 cup cubed stale bread, 1/4 cup chopped cucumber, 1/4 cup chopped red onions, 1 tbsp olive oil, 1 tbsp balsamic vinegar, 1/2 tsp salt, 1/4 tsp black pepper, 1 tbsp chopped basil, 1/2 tsp minced garlic, 1/2 tsp dried oregano, 1 tbsp Parmesan cheese","1. Cut stale bread into cubes and toast lightly. 2. Slice cherry tomatoes, cucumber, and red onions. 3. In a bowl, mix vegetables with toasted bread. 4. Drizzle olive oil and balsamic vinegar. 5. Season with salt, pepper, oregano, and garlic. 6. Add chopped basil and mix gently. 7. Sprinkle Parmesan cheese and serve.",Summer
145,Biryani,A fragrant and spiced rice dish with marinated meat or vegetables.,"1 cup basmati rice, 1/2 cup yogurt, 200g chicken, 1 onion, 1 tomato, 1/2 tsp turmeric, 1 tsp garam masala, 1 tbsp ghee, 2 cloves, 1 bay leaf","1. Marinate chicken with yogurt, turmeric, and garam masala for 1 hour. 2. Sauté onions and tomatoes in ghee. 3. Add marinated chicken and cook until tender. 4. Layer with cooked rice, whole spices, and saffron. 5. Cover and steam for 15 minutes before serving.",Winter
146,Lemon Rice,A tangy and aromatic rice dish flavored with lemon juice and spices.,"1 cup cooked rice, 1 tbsp lemon juice, 1 tsp mustard seeds, 1 green chili, 1/2 tsp turmeric, 1 tbsp peanuts, 1 tbsp curry leaves, 1 tbsp oil, 1/2 tsp salt","1. Heat oil in a pan and add mustard seeds, curry leaves, and green chili. 2. Add turmeric, peanuts, and salt, and sauté briefly. 3. Mix in the cooked rice and stir well. 4. Squeeze fresh lemon juice and combine. 5. Serve warm with yogurt or pickle.",Summer
147,Jeera Rice,A simple and aromatic cumin-flavored rice dish.,"1 cup basmati rice, 1 tsp cumin seeds, 1 tbsp ghee, 2 cloves, 1 bay leaf, 1/2 tsp salt, 2 cups water","1. Heat ghee in a pan and add cumin seeds, cloves, and bay leaf. 2. Add washed rice and sauté for a minute. 3. Pour in water and salt, and bring to a boil. 4. Cover and simmer until rice is cooked. 5. Fluff with a fork and serve hot.",Winter
148,Curd Rice,A cooling and creamy South Indian rice dish mixed with yogurt.,"1 cup cooked rice, 1/2 cup yogurt, 1 tsp mustard seeds, 1 tbsp curry leaves, 1 green chili, 1/2 tsp salt, 1 tbsp coriander leaves","1. Mash cooked rice and mix with yogurt and salt. 2. Heat oil and temper mustard seeds, curry leaves, and green chili. 3. Pour the tempering over the rice and mix well. 4. Garnish with coriander leaves. 5. Serve chilled.",Summer
149,Tomato Rice,A spicy and tangy South Indian rice dish made with tomatoes and spices.,"1 cup basmati rice, 2 tomatoes, 1 onion, 1 tsp mustard seeds, 1 tsp red chili powder, 1 tbsp oil, 1/2 tsp turmeric, 1 tbsp curry leaves, 1/2 tsp salt","1. Heat oil and temper mustard seeds and curry leaves. 2. Sauté onions and tomatoes until soft. 3. Add turmeric, salt, and chili powder. 4. Mix in cooked rice and stir well. 5. Serve with raita or papad.",Rainy
150,Coconut Rice,A fragrant and mildly sweet rice dish with coconut and mild spices.,"1 cup cooked rice, 1/2 cup grated coconut, 1 tsp mustard seeds, 1 green chili, 1 tbsp curry leaves, 1 tbsp cashews, 1 tbsp ghee, 1/2 tsp salt","1. Heat ghee and temper mustard seeds, green chili, and curry leaves. 2. Add cashews and fry until golden. 3. Stir in grated coconut and sauté for a minute. 4. Mix in cooked rice and salt. 5. Serve warm.",Summer
151,Peas Pulao,A light and flavorful rice dish with green peas and whole spices.,"1 cup basmati rice, 1/2 cup green peas, 1 onion, 1 tsp cumin seeds, 2 cloves, 1 bay leaf, 1 tbsp ghee, 1/2 tsp salt, 2 cups water","1. Heat ghee and temper cumin seeds, cloves, and bay leaf. 2. Sauté onions until golden. 3. Add peas and washed rice and mix well. 4. Pour in water and salt and cook covered until rice is done. 5. Serve hot with yogurt.",Winter
152,Tamarind Rice,A tangy and flavorful South Indian rice dish with tamarind paste and spices.,"1 cup cooked rice, 2 tbsp tamarind paste, 1 tsp mustard seeds, 1 tbsp curry leaves, 1 tsp red chili powder, 1 tbsp peanuts, 1 tbsp sesame seeds, 1 tbsp oil, 1/2 tsp salt","1. Heat oil and temper mustard seeds, curry leaves, and peanuts. 2. Add tamarind paste, chili powder, and salt and cook until thickened. 3. Mix in cooked rice and stir well. 4. Roast sesame seeds and sprinkle on top. 5. Serve warm.",Rainy
153,Mushroom Pulao,A fragrant and mildly spiced rice dish with mushrooms.,"1 cup basmati rice, 1/2 cup mushrooms, 1 onion, 1 tsp cumin seeds, 2 cloves, 1 bay leaf, 1 tbsp ghee, 1/2 tsp salt, 2 cups water","1. Heat ghee and temper cumin seeds, cloves, and bay leaf. 2. Sauté onions and mushrooms until golden. 3. Add washed rice and mix well. 4. Pour in water and salt and cook covered until rice is done. 5. Serve hot with raita.",Winter
154,Khichdi,A nutritious and comforting rice dish with lentils and mild spices.,"1/2 cup rice, 1/2 cup yellow moong dal, 1 tsp cumin seeds, 1 bay leaf, 1/2 tsp turmeric, 1 tbsp ghee, 1/2 tsp salt, 3 cups water","1. Wash and soak rice and dal for 15 minutes. 2. Heat ghee and temper cumin seeds and bay leaf. 3. Add rice, dal, turmeric, salt, and water and mix well. 4. Cover and cook until soft and mushy. 5. Serve hot with ghee and pickles.",Rainy
155,Hyderabadi Biryani,Aromatic and spicy biryani from Hyderabad made with basmati rice and tender marinated meat.,"1 cup basmati rice, 1/2 cup yogurt, 1/2 lb chicken, 1/2 tsp turmeric, 1 tsp garam masala, 1 onion, 1 tomato, 1/2 cup mint leaves, 1/2 cup coriander leaves, 1 tbsp ghee, 1/2 tsp saffron","1. Marinate chicken with yogurt, turmeric, and garam masala for 1 hour. 2. Fry onions until golden brown and set aside. 3. Cook basmati rice with whole spices until 70% done. 4. Layer rice and marinated chicken in a pot. 5. Add fried onions, mint, coriander, saffron milk, and ghee. 6. Seal the pot and cook on low heat for 30 minutes. 7. Fluff and serve hot.",Summer
156,Lucknowi Biryani,A delicate and fragrant biryani from Lucknow cooked in the traditional dum style.,"1 cup basmati rice, 1/2 lb lamb, 1/2 cup yogurt, 1 tsp kewra water, 1 onion, 1/2 tsp saffron, 1 tsp garam masala, 1/2 cup milk, 1 tbsp ghee, 1/2 tsp cardamom powder","1. Marinate lamb with yogurt, garam masala, and salt for 1 hour. 2. Cook basmati rice with whole spices until half done. 3. Layer lamb and rice in a heavy-bottomed pot. 4. Pour milk, saffron, kewra water, and ghee over the top. 5. Seal the pot and cook on low heat for 40 minutes. 6. Let it rest for 10 minutes before serving. 7. Garnish with fried onions and coriander.",Winter
157,Kolkata Biryani,"A subtle and aromatic biryani with potatoes, inspired by Mughlai cuisine.","1 cup basmati rice, 1/2 lb chicken, 1 potato, 1/2 cup yogurt, 1 tsp rose water, 1/2 tsp saffron, 1 tbsp ghee, 1 tsp garam masala, 1 onion, 1/2 cup milk","1. Marinate chicken with yogurt, garam masala, and salt for 1 hour. 2. Fry potatoes and onions until golden brown. 3. Cook rice with whole spices until 70% done. 4. Layer rice, chicken, and potatoes in a heavy-bottomed pot. 5. Pour milk, saffron, rose water, and ghee over the top. 6. Cook on low heat for 30 minutes. 7. Serve hot with raita.",Rainy
158,Malabar Biryani,A coastal biryani from Kerala with mild spices and a coconut touch.,"1 cup jeerakasala rice, 1/2 lb fish, 1/2 cup coconut milk, 1 tsp fennel seeds, 1 onion, 1 tomato, 1/2 tsp turmeric, 1 tsp garam masala, 1 tbsp ghee",1. Marinate fish with turmeric and salt for 30 minutes. 2. Fry onions and tomatoes until soft. 3. Cook rice with whole spices until almost done. 4. Layer rice and fish in a pot with coconut milk. 5. Add garam masala and fennel seeds. 6. Cook on low heat for 20 minutes. 7. Serve with coconut chutney.,Summer
159,Sindhi Biryani,"A spicy and tangy biryani from Sindh, known for its bold flavors.","1 cup basmati rice, 1/2 lb mutton, 1/2 cup yogurt, 1/2 tsp turmeric, 1 tsp red chili powder, 1/2 cup dried plums, 1 onion, 1 tomato, 1 tbsp ghee","1. Marinate mutton with yogurt, turmeric, and red chili powder for 1 hour. 2. Fry onions and tomatoes until soft. 3. Cook rice with whole spices until 70% done. 4. Add mutton, dried plums, and ghee. 5. Layer rice on top and seal the pot. 6. Cook on low heat for 40 minutes. 7. Serve hot with yogurt.",Winter
160,Thalassery Biryani,A mildly spiced biryani from Kerala with unique rice variety.,"2 cups jeerakasala rice, 500g chicken, 1/2 cup yogurt, 2 onions, 1 tbsp ginger-garlic paste, 1/2 tsp turmeric, 1/2 cup coconut milk, 1 tbsp garam masala, 2 tbsp ghee","1. Marinate chicken with yogurt and spices. 2. Cook rice separately with coconut milk and whole spices. 3. Cook chicken with onions until tender. 4. Layer rice and chicken, adding ghee. 5. Cook on Dum for 20 minutes and serve hot.",Rainy
161,Hyderabadi Dum Biryani,A classic Hyderabadi-style biryani with aromatic spices and slow-cooked layers.,"1 cup basmati rice, 1/2 lb chicken, 1/2 cup yogurt, 1 onion, 1 tomato, 1 tsp ginger-garlic paste, 1/2 tsp turmeric, 1 tsp red chili powder, 1/2 tsp garam masala, 1/2 tsp cumin, 1 tbsp ghee, 1/2 tsp saffron, 2 tbsp milk, 1 tbsp fried onions, 1/2 cup coriander leaves, 1/2 cup mint leaves","1. Marinate chicken with yogurt, spices, and ginger-garlic paste for 2 hours. 2. Parboil basmati rice with whole spices and drain. 3. Layer the marinated chicken and parboiled rice in a pot. 4. Drizzle saffron milk and ghee over the rice. 5. Seal the pot with dough and cook on low heat for 40 minutes. 6. Garnish with fried onions, mint, and coriander. 7. Serve hot with raita.",Summer
162,Gongura Biryani,"A tangy biryani made with Gongura (sorrel) leaves, a specialty from Andhra Pradesh.","1 cup basmati rice, 1/2 lb mutton, 1/2 cup yogurt, 1 cup Gongura leaves, 1 onion, 1 tomato, 1 tsp ginger-garlic paste, 1 tsp red chili powder, 1/2 tsp turmeric, 1/2 tsp garam masala, 1/2 tsp cumin, 1 tbsp ghee, 1 tbsp fried onions, 1/2 cup coriander leaves, 1/2 cup mint leaves","1. Marinate mutton with yogurt, red chili powder, turmeric, and salt for 2 hours. 2. Cook Gongura leaves with onions and tomatoes until soft. 3. Cook the marinated mutton until tender. 4. Layer cooked mutton and Gongura mix with parboiled rice. 5. Drizzle ghee and fried onions on top. 6. Cover and cook on low heat for 30 minutes. 7. Serve hot with raita.",Rainy
163,Ulavacharu Biryani,"A rich biryani infused with Ulavacharu (horse gram) broth, a unique Andhra delicacy.","1 cup basmati rice, 1/2 lb chicken, 1/2 cup yogurt, 1/2 cup Ulavacharu (horse gram broth), 1 onion, 1 tomato, 1 tsp ginger-garlic paste, 1 tsp red chili powder, 1/2 tsp turmeric, 1/2 tsp garam masala, 1/2 tsp cumin, 1 tbsp ghee, 1/2 cup coriander leaves, 1/2 cup mint leaves","1. Marinate chicken with yogurt, chili powder, turmeric, and salt for 1 hour. 2. Prepare Ulavacharu broth by boiling horse gram and extracting liquid. 3. Cook marinated chicken until tender. 4. Layer cooked chicken with parboiled rice and Ulavacharu broth. 5. Drizzle ghee and garnish with coriander and mint. 6. Cover and cook on low heat for 25 minutes. 7. Serve with onion raita.",Winter
164,Pulihora,A tangy and spicy tamarind rice dish commonly prepared during festivals.,"2 cups cooked rice, 2 tbsp tamarind pulp, 1 tbsp sesame seeds, 1 tsp mustard seeds, 2 dried red chilies, 10 curry leaves, 1/2 tsp turmeric, 2 tbsp peanuts, 1 tbsp oil, 1 tsp salt","1. Cook rice and let it cool. 2. Heat oil in a pan, add mustard seeds, dried chilies, and curry leaves. 3. Add tamarind pulp, turmeric, salt, and sesame powder, then mix well. 4. Stir in cooked rice and mix evenly. 5. Garnish with roasted peanuts and serve.",Rainy
165,Gongura Rice,A flavorful rice dish made with Andhra's famous gongura (sorrel) leaves.,"2 cups cooked rice, 1 cup chopped gongura leaves, 1 tbsp oil, 1/2 tsp mustard seeds, 2 dried red chilies, 1/2 tsp turmeric, 1 tsp red chili powder, 1 tbsp garlic paste, 1 tsp salt","1. Heat oil in a pan and add mustard seeds, red chilies, and garlic paste. 2. Add chopped gongura leaves and cook until soft. 3. Add turmeric, red chili powder, and salt, then mix well. 4. Stir in cooked rice and mix thoroughly. 5. Serve hot with papad or yogurt.",Summer
166,Ulavacharu Rice,A rich and flavorful horse gram rice dish enjoyed in Andhra cuisine.,"2 cups cooked rice, 1 cup ulavacharu (horse gram soup), 1 tbsp ghee, 1/2 tsp cumin seeds, 1/2 tsp mustard seeds, 1 green chili, 1 tbsp chopped coriander leaves, 1 tsp salt","1. Prepare ulavacharu (horse gram soup) by boiling horse gram and extracting the stock. 2. Heat ghee in a pan, add cumin, mustard seeds, and green chili. 3. Pour ulavacharu into the pan and cook for 5 minutes. 4. Add cooked rice and mix well. 5. Garnish with coriander and serve hot.",Winter
167,Kobbari Annam,A simple and aromatic coconut rice dish often made as a temple offering.,"2 cups cooked rice, 1 cup grated coconut, 1 tbsp ghee, 1/2 tsp mustard seeds, 1/2 tsp cumin seeds, 1 green chili, 8 cashews, 1 tsp salt","1. Heat ghee in a pan and fry cashews until golden. 2. Add mustard seeds, cumin, and green chili. 3. Stir in grated coconut and sauté for a minute. 4. Mix in cooked rice and salt, then combine well. 5. Serve warm with a side of pickle or yogurt.",Rainy
168,Masala Annam,A spicy and flavorful rice dish cooked with aromatic spices.,"2 cups cooked rice, 1 tbsp oil, 1 onion (sliced), 1 tomato (chopped), 1 tsp ginger-garlic paste, 1/2 tsp turmeric, 1 tsp garam masala, 1 tsp red chili powder, 1 tsp salt","1. Heat oil in a pan, sauté onions until golden brown. 2. Add ginger-garlic paste and cook for a minute. 3. Stir in tomatoes, turmeric, red chili powder, and garam masala. 4. Add cooked rice and mix well. 5. Serve hot with raita.",Winter
169,Paella,"A traditional Spanish rice dish cooked with seafood, saffron, and vegetables.","1 cup rice, 1/2 cup shrimp, 1/2 cup mussels, 1/2 cup squid rings, 1/4 cup peas, 1/4 cup bell peppers, 1/2 tsp saffron, 1 tbsp olive oil, 1/2 tsp salt, 1/4 tsp black pepper","1. Heat olive oil in a pan and sauté bell peppers and peas. 2. Add seafood and cook until tender. 3. Stir in rice, saffron, salt, and pepper. 4. Add water and simmer until rice is cooked. 5. Serve hot with lemon wedges.",Summer
170,Risotto,"A creamy Italian rice dish made with Arborio rice, broth, and Parmesan cheese.","1 cup Arborio rice, 3 cups vegetable broth, 1/4 cup Parmesan cheese, 1/4 cup white wine, 1/2 onion, 1 tbsp butter, 1/2 tsp salt, 1/4 tsp black pepper","1. Sauté onions in butter until translucent. 2. Add Arborio rice and toast for 2 minutes. 3. Pour in white wine and let it absorb. 4. Gradually add broth, stirring continuously. 5. Mix in Parmesan cheese, salt, and pepper before serving.",Winter
171,Jollof Rice,"A popular West African dish cooked with tomatoes, peppers, and spices.","1 cup rice, 1/2 cup tomato puree, 1/4 cup bell peppers, 1/2 onion, 1/2 tsp thyme, 1/2 tsp curry powder, 1 tbsp vegetable oil, 1/2 tsp salt, 1/4 tsp chili powder","1. Sauté onions and bell peppers in oil. 2. Add tomato puree and spices, cooking for 5 minutes. 3. Stir in rice and mix well. 4. Add water and simmer until rice is cooked. 5. Serve hot with grilled chicken or fish.",Rainy
172,Bibimbap Rice,"A Korean mixed rice dish topped with vegetables, beef, and a fried egg.","1 cup rice, 1/2 cup beef strips, 1/4 cup carrots, 1/4 cup spinach, 1/2 cup mushrooms, 1 egg, 1 tbsp soy sauce, 1 tsp sesame oil, 1/2 tsp salt, 1/4 tsp black pepper",1. Cook rice and set aside. 2. Sauté beef with soy sauce and pepper. 3. Stir-fry vegetables separately with sesame oil and salt. 4. Fry an egg sunny side up. 5. Assemble rice with toppings and serve with spicy gochujang sauce.,Winter
173,Nasi Goreng,"An Indonesian-style fried rice dish with eggs, shrimp, and kecap manis.","1 cup rice, 1/2 cup shrimp, 1 egg, 1 tbsp kecap manis, 1/4 cup green onions, 1 tbsp vegetable oil, 1/2 tsp salt, 1/4 tsp chili flakes",1. Heat oil in a wok and fry shrimp. 2. Add cooked rice and stir-fry. 3. Pour in kecap manis and seasonings. 4. Fry an egg separately and place on top. 5. Serve hot with prawn crackers.,Summer
174,Hainanese Chicken Rice,A fragrant Singaporean dish with poached chicken and ginger rice.,"1 cup rice, 1 chicken breast, 1/2 tbsp ginger paste, 1/2 tbsp garlic paste, 1/4 cup green onions, 1 tbsp soy sauce, 1/2 tsp sesame oil, 1/2 tsp salt","1. Poach chicken in water with ginger and garlic. 2. Cook rice in chicken broth. 3. Slice chicken and drizzle with soy sauce. 4. Serve rice with chicken, green onions, and dipping sauces.",Winter
175,Mexican Rice,"A flavorful Mexican rice dish cooked with tomatoes, cumin, and beans.","1 cup rice, 1/2 cup tomato puree, 1/4 cup black beans, 1/4 cup corn, 1/2 onion, 1/2 tsp cumin, 1 tbsp olive oil, 1/2 tsp salt","1. Sauté onions in olive oil. 2. Add tomato puree, cumin, and cook for 5 minutes. 3. Stir in rice, beans, and corn. 4. Add water and simmer until rice is cooked. 5. Serve hot with lime wedges.",Summer
176,Kimchi Fried Rice,"A spicy Korean fried rice dish made with kimchi, rice, and egg.","1 cup cooked rice, 1/2 cup kimchi, 1 tbsp kimchi juice, 1 egg, 1 tsp soy sauce, 1/2 tsp sesame oil, 1/2 tsp garlic, 1/4 cup green onions","1. Heat sesame oil in a pan and sauté garlic and green onions. 2. Add chopped kimchi and stir-fry for 2 minutes. 3. Add rice and kimchi juice, mix well, and cook for 3 minutes. 4. Fry an egg separately and place on top of rice. 5. Garnish with sesame seeds and serve hot.",Winter
177,Creamy Mushroom Pasta,A rich and creamy mushroom pasta with garlic and herbs.,"1/2 cup mushrooms, 1 cup pasta, 1/2 cup heavy cream, 1 tbsp butter, 1 tsp garlic, 1/2 tsp oregano, 1/2 tsp black pepper, 1/4 cup parmesan cheese",1. Cook pasta until al dente and set aside. 2. Sauté mushrooms in butter with garlic and oregano. 3. Add heavy cream and simmer until thickened. 4. Toss in pasta and mix well. 5. Garnish with parmesan cheese and serve.,Winter
